### RESET
### LABEL HIPPARCUS
### NAME_COL 0
### RA_COL 1
### DEC_COL 2
### MAG_COL 3
### MAG_BAND V
### SPEC_COL 8
### RA_DEC_TYPE 0


# List of A0V stars in the Hipparcos Catalogue.
#
# Taken from http://www.gemini.edu/sciops/instruments/nir/specstandards/A0V.html
#
# ID	RA		Dec		VMag	Plax	PM(RA)	PM(Dec)	CCDM		Sp. Type	
14703	03:09:56.54	-44:59:30.3	9.26	3.04	15.49	7.97	--------	A0V
14719	03:10:08.84	+27:49:11.1	6.42	5.42	17.62	-50.91	--------	A0V
15086	03:14:33.62	+61:42:56.1	7.88	4.40	-10.48	1.51	--------	A0V
15339	03:17:49.31	-49:17:07.2	8.56	4.87	65.54	21.85	--------	A0V
15505	03:19:47.26	+48:37:40.4	7.66	5.20	21.96	-25.38	--------	A0Vn
15570	03:20:36.46	-36:46:31.8	7.95	3.39	9.37	-13.34	--------	A0V
15660	03:21:41.93	-20:19:28.7	6.69	11.62	39.02	-14.92	03217-2019	A0V
15814	03:23:43.16	+51:46:13.2	7.89	5.91	23.15	-25.50	--------	A0V
15925	03:25:09.38	+41:15:26.2	6.52	4.81	-8.25	6.31	--------	A0V
16095	03:27:18.68	+12:44:07.0	6.29	9.58	11.44	-7.54	--------	A0Vs
16111	03:27:33.24	-15:12:37.6	9.23	5.50	9.08	-12.65	--------	A0V
16124	03:27:41.36	-14:21:59.6	7.22	7.75	-14.88	-10.48	03277-1422	A0V
16275	03:29:49.99	+47:58:36.5	7.67	5.30	24.95	-32.58	--------	A0Vn
16322	03:30:24.47	+11:20:11.1	5.14	7.82	-11.71	-16.08	--------	A0Vn
16400	03:31:10.93	-13:29:55.8	7.71	4.65	6.46	-1.27	--------	A0V
16424	03:31:29.34	+49:12:35.1	6.29	6.97	-14.85	-1.32	--------	A0Vn
16433	03:31:34.97	-31:40:24.7	7.62	6.11	-2.48	-15.79	--------	A0V
16652	03:34:15.89	+47:16:33.3	9.27	4.00	6.34	-6.85	--------	A0V
16725	03:35:12.31	+73:20:48.9	6.56	5.30	8.60	-24.53	--------	A0Vn
16904	03:37:31.36	-33:56:58.7	8.56	3.09	-1.30	-4.12	--------	A0V
16966	03:38:15.58	+47:34:37.1	7.45	4.45	20.73	-26.64	--------	A0V
17007	03:38:47.67	-27:56:34.9	6.01	7.81	21.55	25.85	--------	A0V
17030	03:39:02.90	-33:58:00.3	9.38	2.39	0.49	-0.19	--------	A0V
17453	03:44:28.21	+20:55:43.4	6.09	13.39	26.61	-13.80	--------	A0V
17588	03:46:02.90	+24:31:40.4	6.43	9.21	19.83	-44.38	--------	A0Vn
17623	03:46:31.67	-15:14:55.9	8.20	4.76	5.70	2.49	--------	A0V
17704	03:47:29.45	+24:17:18.0	6.83	9.05	17.84	-44.94	--------	A0V...
17718	03:47:40.09	+51:31:43.7	7.34	8.12	19.34	-27.48	--------	A0V
17858	03:49:19.76	+57:07:05.7	6.46	6.14	28.30	-24.42	03494+5707	A0Vn
17946	03:50:13.90	-18:44:45.6	7.38	5.69	-14.57	-7.87	--------	A0V
17971	03:50:32.03	+29:44:41.7	8.80	2.03	12.77	2.11	--------	A0V
18029	03:51:12.09	-18:54:38.2	8.69	1.73	5.70	-1.33	03512-1855	A0V+...
18356	03:55:27.01	-72:20:29.7	9.36	4.20	-20.09	-0.40	--------	A0V
18384	03:55:47.87	-52:14:52.3	7.89	3.74	0.14	4.32	--------	A0V
18437	03:56:29.37	-38:57:43.8	6.89	9.66	29.96	0.47	--------	A0V
18717	04:00:36.89	+17:17:47.9	6.31	3.53	2.57	-30.81	--------	A0V
18769	04:01:14.84	+36:59:22.0	6.39	8.74	-6.13	-2.72	--------	A0V
18819	04:01:58.33	-36:05:57.8	8.39	0.86	11.12	1.87	--------	A0V
18842	04:02:25.44	-70:16:19.6	8.59	4.27	9.72	5.56	--------	B9.5/A0V
19001	04:04:17.84	-19:28:09.3	7.71	4.50	-11.03	-4.57	--------	A0V
19053	04:04:56.27	-11:47:56.5	8.01	4.75	22.10	-1.84	--------	A0V
19578	04:11:43.71	-21:25:00.0	8.96	5.63	15.71	-9.26	--------	A0V
19813	04:14:57.14	+51:13:56.2	8.79	3.26	2.04	-2.80	--------	A0V
19827	04:15:06.08	-30:04:19.0	7.77	6.52	20.39	-3.01	04151-3004	A0V
19898	04:16:05.96	-39:37:11.7	8.06	3.98	14.07	1.59	--------	A0Vn...
20050	04:17:59.17	-48:23:45.1	8.74	3.37	2.31	12.68	--------	A0V
20264	04:20:39.02	-20:38:22.6	5.38	7.05	26.13	-9.40	--------	A0V
20379	04:21:50.29	-13:52:54.7	8.22	1.48	-1.69	1.27	--------	A0V
20404	04:22:06.47	-41:45:55.5	8.72	2.76	5.30	8.57	--------	A0V
20582	04:24:30.82	-44:01:14.1	8.26	3.76	7.05	16.94	--------	A0Vn
20784	04:27:06.44	-62:47:58.6	6.87	7.26	-6.50	13.73	--------	A0V
21020	04:30:26.69	-43:12:45.8	7.35	7.50	2.72	21.13	--------	A0V
21024	04:30:29.54	-43:24:38.2	7.27	6.46	2.37	22.28	--------	A0V
21133	04:31:48.42	-24:06:36.8	7.86	4.23	1.86	-1.45	04318-2407	A0V
21146	04:31:59.79	-33:53:55.0	8.11	3.40	3.75	-0.76	--------	A0V
21207	04:32:57.18	-33:05:48.7	8.17	5.00	44.13	70.87	--------	A0V
21472	04:36:40.31	-22:16:46.7	8.29	2.19	-5.93	14.03	--------	A0V
21514	04:37:13.49	-22:36:53.6	7.86	6.21	17.93	-1.93	--------	A0V
21736	04:40:03.89	-22:36:50.9	8.72	4.37	6.35	6.21	--------	A0V
21823	04:41:24.13	+48:18:03.2	5.66	10.48	44.67	-44.20	--------	A0V
22136	04:45:49.67	-34:00:18.0	6.85	4.67	42.34	17.11	--------	A0V
22155	04:46:01.33	-70:09:39.9	9.91	1.18	-1.67	-25.29	--------	A0V
22435	04:49:41.60	-12:02:35.4	8.25	1.16	5.15	-2.77	--------	A0V
22448	04:49:48.17	-54:27:16.3	7.78	1.35	-8.70	-9.25	04498-5427	B9.5/A0V
22605	04:51:48.06	-12:44:45.5	8.08	6.39	-8.77	-3.47	--------	A0V
22679	04:52:37.96	-16:51:58.9	8.86	4.30	3.95	4.47	--------	A0V
22748	04:53:36.85	-52:19:44.8	8.04	4.82	9.36	17.79	--------	A0V
22842	04:54:51.24	+44:03:39.1	6.06	9.59	21.34	-56.40	--------	A0V
22845	04:54:53.72	+10:09:02.9	4.64	27.04	40.08	-128.37	04548+1009	A0V
22865	04:55:08.27	-30:17:10.1	7.62	5.00	-0.41	10.02	--------	A0V
22923	04:55:58.35	+05:23:56.4	6.50	6.66	-18.89	-13.98	--------	A0V
23058	04:57:44.64	-13:42:17.9	7.57	5.17	-10.86	-2.14	--------	A0V
23088	04:58:09.40	+25:03:01.4	5.79	11.01	26.23	-47.62	04581+2503	A0V
23226	04:59:53.07	+27:19:13.5	9.11	-7.31	3.53	-35.29	04599+2719	A0V
23237	05:00:01.24	-15:47:55.2	8.38	4.73	-5.87	-1.17	--------	A0V
23238	05:00:01.24	-34:10:00.7	7.90	3.26	1.30	9.94	--------	A0V
23252	05:00:13.68	-57:36:27.8	8.04	3.97	12.33	17.89	--------	A0V
23276	05:00:28.09	-69:21:00.9	8.75	3.97	5.51	-0.23	--------	A0V
23600	05:04:26.77	-67:17:42.7	10.88	-0.90	1.42	9.31	--------	A0V
23660	05:05:06.12	-60:08:11.9	10.04	1.11	8.61	-0.33	--------	A0V
23663	05:05:06.66	-68:05:11.1	7.86	2.02	6.68	3.93	--------	A0V
23671	05:05:17.30	-21:15:30.5	7.83	2.50	-5.04	-16.13	--------	A0V
